Series_Name	Number_of_episodes	Number_of_seasons	Genre	Year_released	End_year	Avg_runtime	Rating	Number_of_raters	Number_of_reviews	Number_of_critics_review
Blue Planet II	8	1	Documentary	2017	2018	46	9.3	31482	41	9
Line of Duty	35	6	Crime	2012	NA	60	8.7	31279	264	28
Young Justice	72	3	Animation	2010	NA	23	8.6	30849	101	22
The Bugs Bunny Show	78	3	Animation	1960	1975	30	8.6	30804	13	5
Our Planet	8	1	Documentary	2019	NA	50	9.3	29612	196	12
North & South	4	1	Drama	2004	NA	59	8.6	29313	112	8
QI	285	18	Comedy	2003	NA	30	8.6	29206	24	NA
Normal People	12	1	Drama	2020	NA	28	8.5	28106	485	27
Gomorra: La serie	48	4	Crime	2014	NA	55	8.7	27900	162	24
John Adams	7	1	Biography	2008	NA	71	8.5	27828	119	43
Berserk	25	1	Animation	1997	1998	23	8.6	27622	92	15
Persona	12	1	Crime	2018	NA	65	9.1	27526	113	21
Skam	43	4	Drama	2015	2017	30	8.7	27029	51	5
Behzat ?.: Bir Ankara Polisiyesi	105	4	Crime	2010	2019	90	8.7	26308	25	1
Frozen Planet	10	1	Documentary	2011	2012	33.3	9	26155	15	19
The Family Man	11	2	Action	2019	NA	45	8.6	25840	634	5
Erased	13	1	Animation	2016	NA	30	8.5	25790	94	8
Das Boot	3	1	Drama	1985	1987	97.66666667	8.8	25728	23	7
Ezel	71	2	Crime	2009	2011	1.267605634	8.6	25577	64	NA
Kota Factory	5	1	Comedy	2019	NA	45	9.1	23872	291	1
Human Planet	8	1	Documentary	2011	NA	50	9	23257	11	8
The Venture Bros.	86	7	Animation	2003	2018	22	8.5	23193	58	31
Mystery Science Theater 3000	199	11	Comedy	1988	2015	92	8.5	22794	229	92
SCAM 1992: The Harshad Mehta Story	10	1	Biography	2020	NA	NA	9.6	21662	1005	4
The World at War	26	1	Documentary	1973	1974	52	9.2	21542	90	4
Panchayat	8	1	Comedy	2020	NA	35	8.7	21360	855	62
Dekalog	10	1	Drama	1989	1990	57.2	9	21342	NA	60
Lonesome Dove	4	1	Adventure	1989	NA	96	8.7	20101	213	16
The Thick of It	24	4	Comedy	2005	2012	29	8.7	19995	37	8
The Adventures of Sherlock Holmes	13	2	Crime	1984	1985	60	8.7	19508	56	5
The Vietnam War	10	1	Documentary	2017	NA	41	9.1	19326	152	11
Monster	75	1	Animation	2004	2010	24	8.6	19271	85	9
Yeh Meri Family	7	1	Comedy	2018	NA	30	9.2	18746	355	3
Demon Slayer: Kimetsu No Yaiba	27	1	Animation	2019	NA	25	8.7	18287	165	6
I'm Alan Partridge	12	2	Comedy	1997	2002	29	8.5	18238	58	4
Nathan for You	32	4	Documentary	2013	2017	30	8.8	18008	55	1
Endeavour	31	8	Crime	2012	NA	89	8.6	17808	123	15
Pose	19	3	Drama	2018	NA	60	8.6	17615	166	18
Formula 1: Drive to Survive	20	2	Documentary	2019	NA	40	8.6	17184	160	7
Through the Wormhole	63	8	Documentary	2010	2017	60	8.6	16614	23	8
Ted Lasso	11	2	Comedy	2020	NA	30	8.7	16433	400	21
Feud: Bette and Joan	8	1	Biography	2017	NA	50.75	8.5	16325	86	24
"I, Claudius"	13	1	Biography	1976	NA	51.46153846	8.7	15469	118	27
Queer Eye	42	5	Reality-TV	2018	NA	45	8.5	15067	114	15
Shigatsu wa kimi no uso	23	1	Animation	2014	2015	23	8.6	15040	121	7
Horace and Pete	10	1	Comedy	2016	NA	67	8.5	14657	65	13
Sarabhai V/S Sarabhai	79	2	Comedy	2004	2017	30	8.9	14514	46	1
Alfred Hitchcock Presents	268	7	Comedy	1955	1962	25	8.5	14512	37	20
The Promised Neverland	13	2	Animation	2019	NA	30	8.7	14372	111	7
Pew News	50	2	Comedy	2018	2020	15	9	14224	789	NA
